time,snow_depth,snowfall,temperature_2m,freezing_level_height,wind_speed_10m,wind_gusts_10m,precipitation
2026-06-05 00:00:00,0.75,0.0,-1.2,4690.0,1.2,5.4,0.0
2026-06-05 01:00:00,0.75,0.0,-1.6,4710.0,3.1,12.6,0.0
2026-06-05 02:00:00,0.75,0.0,-1.4,4710.0,2.9,14.0,0.0
2026-06-05 03:00:00,0.75,0.0,-2.2,4710.0,1.5,13.7,0.0
2026-06-05 04:00:00,0.75,0.07,-1.9,4670.0,1.4,14.0,0.1
2026-06-05 05:00:00,0.75,0.21,-1.3,4660.0,2.0,14.4,0.3
2026-06-05 06:00:00,0.75,0.28,-0.8,4640.0,4.0,20.5,0.4
2026-06-05 07:00:00,0.75,0.14,-0.9,4650.0,3.3,21.6,0.2
2026-06-05 08:00:00,0.76,0.07,-0.6,4670.0,4.2,21.6,0.1
2026-06-05 09:00:00,0.76,0.21,-0.5,4720.0,5.1,24.8,0.3
2026-06-05 10:00:00,0.76,0.14,-0.4,4730.0,5.4,25.9,0.2
2026-06-05 11:00:00,0.75,0.07,-0.8,4790.0,4.0,26.6,0.1
2026-06-05 12:00:00,0.75,0.0,-0.5,4830.0,5.5,21.6,0.0
2026-06-05 13:00:00,0.75,0.0,0.2,4840.0,5.6,22.7,0.0
2026-06-05 14:00:00,0.75,0.0,0.3,4840.0,5.9,23.8,0.0
2026-06-05 15:00:00,0.74,0.0,0.3,4850.0,4.9,23.0,0.0
2026-06-05 16:00:00,0.74,0.0,0.5,4840.0,5.1,20.9,0.0
2026-06-05 17:00:00,0.73,0.0,1.0,4840.0,4.1,21.6,0.0
2026-06-05 18:00:00,0.73,0.0,-0.3,4800.0,3.2,16.2,0.0
2026-06-05 19:00:00,0.73,0.0,-1.6,4750.0,2.3,13.3,0.0
2026-06-05 20:00:00,0.73,0.0,-1.8,4710.0,0.8,11.2,0.0
2026-06-05 21:00:00,0.73,0.0,-1.5,4680.0,1.1,8.3,0.0
2026-06-05 22:00:00,0.73,0.0,-1.7,4650.0,2.1,7.9,0.0
2026-06-05 23:00:00,0.73,0.0,-2.1,4610.0,1.6,7.6,0.0
2026-06-06 00:00:00,0.73,0.0,-1.8,4590.0,0.7,5.4,0.0
2026-06-06 01:00:00,0.73,0.0,-1.4,4570.0,0.4,6.1,0.0
2026-06-06 02:00:00,0.73,0.0,-1.8,4540.0,1.2,6.8,0.0
2026-06-06 03:00:00,0.73,0.0,-2.3,4530.0,1.8,6.8,0.0
2026-06-06 04:00:00,0.73,0.0,-3.4,4520.0,2.4,9.4,0.0
