date,item_id,cloud_cover_pct,path_B03,path_B11,path_SCL,path_RGB
2026-05-13,S2C_43SFS_20260513_0_L2A,37.779692,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-13_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-13_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-13_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-13_RGB.tif
2026-05-15,S2A_43SFS_20260515_0_L2A,64.094758,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-15_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-15_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-15_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-15_RGB.tif
2026-05-16,S2C_43SFS_20260516_0_L2A,28.751558,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-16_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-16_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-16_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-16_RGB.tif
2026-05-18,S2A_43SFS_20260518_0_L2A,0.02455,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-18_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-18_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-18_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-18_RGB.tif
2026-05-21,S2B_43SFS_20260521_0_L2A,78.349274,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-21_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-21_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-21_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-21_RGB.tif
2026-05-23,S2C_43SFS_20260523_0_L2A,14.541468,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-23_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-23_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-23_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-23_RGB.tif
2026-05-26,S2C_43SFS_20260526_0_L2A,2.008584,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-26_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-26_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-26_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-26_RGB.tif
2026-05-31,S2B_43SFS_20260531_0_L2A,75.916553,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-31_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-31_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-31_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-05-31_RGB.tif
2026-06-02,S2C_43SFS_20260602_0_L2A,26.613626,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-02_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-02_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-02_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-02_RGB.tif
2026-06-04,S2A_43SFS_20260604_0_L2A,63.340282,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-04_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-04_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-04_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-04_RGB.tif
2026-06-05,S2C_43SFS_20260605_0_L2A,80.672854,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-05_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-05_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-05_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-05_RGB.tif
2026-06-10,S2B_43SFS_20260610_0_L2A,15.470789,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-10_B03.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-10_B11.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-10_SCL.tif,/Users/ritvik/Documents/code/Personal /snow-detection/output/rasters/2026-06-10_RGB.tif
