date,cloud_cover_pct,valid_pixel_pct,snow_cover_pct,snowline_m,snow_at_site
2026-05-13,37.779692,14.7,99.9,3900.0,
2026-05-15,64.094758,35.5,80.4,4000.0,
2026-05-16,28.751558,55.6,64.1,4300.0,False
2026-05-18,0.02455,100.0,66.6,4400.0,False
2026-05-21,78.349274,12.2,76.6,4100.0,
2026-05-23,14.541468,84.6,74.2,4300.0,False
2026-05-26,2.008584,100.0,87.4,4000.0,True
2026-05-31,75.916553,7.6,80.8,4400.0,
2026-06-02,26.613626,97.0,53.7,4600.0,False
2026-06-04,63.340282,17.8,60.7,4600.0,
2026-06-05,80.672854,0.0,,,
2026-06-10,15.470789,75.7,48.7,4700.0,
