elev_lo_m,elev_hi_m,n_pixels,snow_fraction
3800.0,3900.0,3322,0.002107164358819988
3900.0,4000.0,44304,0.07094167569519683
4000.0,4100.0,32706,0.233810310034856
4100.0,4200.0,26404,0.24087259506135433
4200.0,4300.0,27294,0.46050414010405216
4300.0,4400.0,34507,0.5857072478047932
4400.0,4500.0,51892,0.7028058274878594
4500.0,4600.0,65413,0.7964166144344397
4600.0,4700.0,72806,0.843666730763948
4700.0,4800.0,64349,0.8106264277611152
4800.0,4900.0,63431,0.8085005754284182
4900.0,5000.0,76328,0.8793889529399433
5000.0,5100.0,74325,0.8988227379751094
5100.0,5200.0,61201,0.8808516200715675
5200.0,5300.0,49670,0.8854640628145762
5300.0,5400.0,47572,0.910556629950391
5400.0,5500.0,28089,0.9105343728861832
5500.0,5600.0,16296,0.9265463917525774
5600.0,5700.0,6936,0.910322952710496
5700.0,5800.0,1569,0.7903123008285532
5800.0,5900.0,573,0.912739965095986
